business_name,category,city,address,phone,source
Tunday Kababi 1,Fast Food,Lucknow,"8, Aminabad",9874944909,Justdial
Bajpai Kachori 2,South Indian,Lucknow,"64, Indira Nagar",9839426004,Justdial
Chowdhary Lassi 3,Street Food,Lucknow,"15, Aliganj",9879920523,Justdial
Zaheer Ahmed Biryani 4,South Indian,Lucknow,"75, Aminabad",9833906265,Justdial
Moti Mahal 5,South Indian,Lucknow,"99, Chowk",9880499532,Justdial
Tunday Kababi 6,Chinese,Lucknow,"88, Aminabad",9825599254,Justdial
Idris Biryani 7,Mughlai,Lucknow,"16, Hazratganj",9888356640,Justdial
Idris Biryani 8,Chinese,Lucknow,"69, Chowk",9862121045,Justdial
Moti Mahal 9,South Indian,Lucknow,"87, Aliganj",9822401127,Justdial
Sharma Ji Ka Dhaba 10,Street Food,Lucknow,"31, Aliganj",9892039958,Justdial
Wahid Biryani 11,Street Food,Lucknow,"72, Hazratganj",9833471722,Justdial
Moti Mahal 12,Mughlai,Lucknow,"40, Hazratganj",9830862269,Justdial
Bajpai Kachori 13,Fast Food,Lucknow,"95, Indira Nagar",9847178537,Justdial
Wahid Biryani 14,Street Food,Lucknow,"31, Aliganj",9824491632,Justdial
Tunday Kababi 15,North Indian,Lucknow,"57, Chowk",9827758550,Justdial
Peter Cafe 16,Mughlai,Lucknow,"10, Aminabad",9849075266,Justdial
Idris Biryani 17,Mughlai,Lucknow,"43, Chowk",9848874930,Justdial
Tunday Kababi 18,Mughlai,Lucknow,"43, Hazratganj",9894887889,Justdial
Dastarkhan 19,North Indian,Lucknow,"46, Hazratganj",9859306415,Justdial
Royal Cafe 20,Street Food,Lucknow,"22, Aliganj",9810821165,Justdial
Dastarkhan 21,Street Food,Lucknow,"13, Aminabad",9813415192,Justdial
Dastarkhan 22,Chinese,Lucknow,"33, Chowk",9859189693,Justdial
Sharma Ji Ka Dhaba 23,North Indian,Lucknow,"24, Aminabad",9869181001,Justdial
